configuration,questionerType,alpha_q,alpha_a,beta,likelihood
4_1_2.5,explicit,4,1,2.5,-158.98723363190587
4_2_0.5,pragmatic,4,2,0.5,-158.68151625783227
4_2_0.5,explicit,4,2,0.5,-159.68576569688395
4_2_0.1,pragmatic,4,2,0.1,-158.78977247866956
4_2_0.1,explicit,4,2,0.1,-159.80851849396782
4_2_1.5,pragmatic,4,2,1.5,-158.33968994928136
4_2_1.5,explicit,4,2,1.5,-159.31397572097188
4_2_2.0,pragmatic,4,2,2.0,-158.18509423255384
4_2_2.0,explicit,4,2,2.0,-159.13488430397416
4_2_2.5,pragmatic,4,2,2.5,-158.0946495839249
4_2_2.5,explicit,4,2,2.5,-158.98723363190587
4_3_0.5,pragmatic,4,3,0.5,-158.88035576640794
4_3_0.5,explicit,4,3,0.5,-159.68576569688395
4_3_0.1,pragmatic,4,3,0.1,-159.0091585429924
4_3_0.1,explicit,4,3,0.1,-159.80851849396782
4_3_1.5,pragmatic,4,3,1.5,-158.40371952694335
4_3_1.5,explicit,4,3,1.5,-159.31397572097188
4_3_2.0,pragmatic,4,3,2.0,-158.1078280235474
4_3_2.0,explicit,4,3,2.0,-159.13488430397416
4_3_2.5,pragmatic,4,3,2.5,-157.82740232017625
4_3_2.5,explicit,4,3,2.5,-158.98723363190587
4_4_0.5,pragmatic,4,4,0.5,-159.45327768677217
4_4_0.5,explicit,4,4,0.5,-159.68576569688395
4_4_0.1,pragmatic,4,4,0.1,-159.57461604160312
4_4_0.1,explicit,4,4,0.1,-159.80851849396782
4_4_1.5,pragmatic,4,4,1.5,-158.9748673384145
4_4_1.5,explicit,4,4,1.5,-159.31397572097188
4_4_2.0,pragmatic,4,4,2.0,-158.63353673134506
4_4_2.0,explicit,4,4,2.0,-159.13488430397416
4_4_2.5,pragmatic,4,4,2.5,-158.2372308146952
4_4_2.5,explicit,4,4,2.5,-158.98723363190587
4_5_0.5,pragmatic,4,5,0.5,-160.08684109762905
4_5_0.5,explicit,4,5,0.5,-159.68576569688395
4_5_0.1,pragmatic,4,5,0.1,-160.19177959394028
4_5_0.1,explicit,4,5,0.1,-159.80851849396782
4_5_1.5,pragmatic,4,5,1.5,-159.67483217782762
4_5_1.5,explicit,4,5,1.5,-159.31397572097188
4_5_2.0,pragmatic,4,5,2.0,-159.37336380541387
4_5_2.0,explicit,4,5,2.0,-159.13488430397416
4_5_2.5,pragmatic,4,5,2.5,-159.001184789173
4_5_2.5,explicit,4,5,2.5,-158.98723363190587
4_6_0.5,pragmatic,4,6,0.5,-160.6394050076684
4_6_0.5,explicit,4,6,0.5,-159.68576569688395
4_6_0.1,pragmatic,4,6,0.1,-160.73136497573535
4_6_0.1,explicit,4,6,0.1,-159.80851849396782
4_6_1.5,pragmatic,4,6,1.5,-160.29240534654886
4_6_1.5,explicit,4,6,1.5,-159.31397572097188
4_6_2.0,pragmatic,4,6,2.0,-160.04562261275944
4_6_2.0,explicit,4,6,2.0,-159.13488430397416
4_6_2.5,pragmatic,4,6,2.5,-159.74037867228404
4_6_2.5,explicit,4,6,2.5,-158.98723363190587
4_7_0.5,pragmatic,4,7,0.5,-161.07909033177012
4_7_0.5,explicit,4,7,0.5,-159.68576569688395
4_7_0.1,pragmatic,4,7,0.1,-161.1634846764644
4_7_0.1,explicit,4,7,0.1,-159.80851849396782
4_7_1.5,pragmatic,4,7,1.5,-160.7791369638561
4_7_1.5,explicit,4,7,1.5,-159.31397572097188
4_7_2.0,pragmatic,4,7,2.0,-160.57777954445174
4_7_2.0,explicit,4,7,2.0,-159.13488430397416
4_7_2.5,pragmatic,4,7,2.5,-160.33294996289987
4_7_2.5,explicit,4,7,2.5,-158.98723363190587
5_1_0.5,pragmatic,5,1,0.5,-157.571093840644
5_1_0.5,explicit,5,1,0.5,-158.1899189950392
5_1_0.1,pragmatic,5,1,0.1,-157.6050365933458
5_1_0.1,explicit,5,1,0.1,-158.24408403912912
5_1_1.5,pragmatic,5,1,1.5,-157.5123499151867
5_1_1.5,explicit,5,1,1.5,-158.0542232280101
5_1_2.0,pragmatic,5,1,2.0,-157.52647847773937
5_1_2.0,explicit,5,1,2.0,-158.0077365824261
5_1_2.5,pragmatic,5,1,2.5,-157.57821439476328
5_1_2.5,explicit,5,1,2.5,-157.9814374110661
5_2_0.5,pragmatic,5,2,0.5,-157.64569116077453
5_2_0.5,explicit,5,2,0.5,-158.1899189950392
5_2_0.1,pragmatic,5,2,0.1,-157.73114542991965
5_2_0.1,explicit,5,2,0.1,-158.24408403912912
5_2_1.5,pragmatic,5,2,1.5,-157.3598634430186
5_2_1.5,explicit,5,2,1.5,-158.0542232280101
5_2_2.0,pragmatic,5,2,2.0,-157.2199419889166
5_2_2.0,explicit,5,2,2.0,-158.0077365824261
5_2_2.5,pragmatic,5,2,2.5,-157.13604877534888
5_2_2.5,explicit,5,2,2.5,-157.9814374110661
5_3_0.5,pragmatic,5,3,0.5,-158.61836643665282
5_3_0.5,explicit,5,3,0.5,-158.1899189950392
5_3_0.1,pragmatic,5,3,0.1,-158.71518903307515
5_3_0.1,explicit,5,3,0.1,-158.24408403912912
5_3_1.5,pragmatic,5,3,1.5,-158.21224445315062
5_3_1.5,explicit,5,3,1.5,-158.0542232280101
5_3_2.0,pragmatic,5,3,2.0,-157.9037435308061
5_3_2.0,explicit,5,3,2.0,-158.0077365824261
5_3_2.5,pragmatic,5,3,2.5,-157.54331509304308
5_3_2.5,explicit,5,3,2.5,-157.9814374110661
5_4_0.5,pragmatic,5,4,0.5,-159.76853467303542
5_4_0.5,explicit,5,4,0.5,-158.1899189950392
5_4_0.1,pragmatic,5,4,0.1,-159.83692387207375
5_4_0.1,explicit,5,4,0.1,-158.24408403912912
5_4_1.5,pragmatic,5,4,1.5,-159.4722499511101
5_4_1.5,explicit,5,4,1.5,-158.0542232280101
5_4_2.0,pragmatic,5,4,2.0,-159.21742013428613
5_4_2.0,explicit,5,4,2.0,-158.0077365824261
5_4_2.5,pragmatic,5,4,2.5,-158.8554877444028
5_4_2.5,explicit,5,4,2.5,-157.9814374110661
5_5_0.5,pragmatic,5,5,0.5,-160.67476903982407
5_5_0.5,explicit,5,5,0.5,-158.1899189950392
5_5_0.1,pragmatic,5,5,0.1,-160.72080090315052
5_5_0.1,explicit,5,5,0.1,-158.24408403912912
5_5_1.5,pragmatic,5,5,1.5,-160.49691918466516
5_5_1.5,explicit,5,5,1.5,-158.0542232280101
5_5_2.0,pragmatic,5,5,2.0,-160.35279758381205
5_5_2.0,explicit,5,5,2.0,-158.0077365824261
5_5_2.5,pragmatic,5,5,2.5,-160.1399515988004
5_5_2.5,explicit,5,5,2.5,-157.9814374110661
5_6_0.5,pragmatic,5,6,0.5,-161.3149440086619
5_6_0.5,explicit,5,6,0.5,-158.1899189950392
5_6_0.1,pragmatic,5,6,0.1,-161.35222432649326
5_6_0.1,explicit,5,6,0.1,-158.24408403912912
5_6_1.5,pragmatic,5,6,1.5,-161.19630454229915
5_6_1.5,explicit,5,6,1.5,-158.0542232280101
5_6_2.0,pragmatic,5,6,2.0,-161.1188919256269
5_6_2.0,explicit,5,6,2.0,-158.0077365824261
5_6_2.5,pragmatic,5,6,2.5,-161.01410981374173
5_6_2.5,explicit,5,6,2.5,-157.9814374110661
5_7_0.5,pragmatic,5,7,0.5,-161.76112584370776
5_7_0.5,explicit,5,7,0.5,-158.1899189950392
5_7_0.1,pragmatic,5,7,0.1,-161.79732163759954
5_7_0.1,explicit,5,7,0.1,-158.24408403912912
5_7_1.5,pragmatic,5,7,1.5,-161.66353317108093
5_7_1.5,explicit,5,7,1.5,-158.0542232280101
5_7_2.0,pragmatic,5,7,2.0,-161.61536766996468
5_7_2.0,explicit,5,7,2.0,-158.0077365824261
5_7_2.5,pragmatic,5,7,2.5,-161.56056146444138
5_7_2.5,explicit,5,7,2.5,-157.9814374110661
6_1_0.5,pragmatic,6,1,0.5,-157.63814402339025
6_1_0.5,explicit,6,1,0.5,-157.9570290053821
6_1_0.1,pragmatic,6,1,0.1,-157.635693032315
6_1_0.1,explicit,6,1,0.1,-157.93989350230888
6_1_1.5,pragmatic,6,1,1.5,-157.69587051206233
6_1_1.5,explicit,6,1,1.5,-158.0530687035016
6_1_2.0,pragmatic,6,1,2.0,-157.771741397086
6_1_2.0,explicit,6,1,2.0,-158.12792061195864
6_1_2.5,pragmatic,6,1,2.5,-157.88012014052612
6_1_2.5,explicit,6,1,2.5,-158.20733765339364
6_2_0.5,pragmatic,6,2,0.5,-158.6794926169405
6_2_0.5,explicit,6,2,0.5,-157.9570290053821
6_2_0.1,pragmatic,6,2,0.1,-158.76283533459892
6_2_0.1,explicit,6,2,0.1,-157.93989350230888
6_2_1.5,pragmatic,6,2,1.5,-158.33949443465403
6_2_1.5,explicit,6,2,1.5,-158.0530687035016
6_2_2.0,pragmatic,6,2,2.0,-158.1153296398112
6_2_2.0,explicit,6,2,2.0,-158.12792061195864
6_2_2.5,pragmatic,6,2,2.5,-157.91187908706334
6_2_2.5,explicit,6,2,2.5,-158.20733765339364
6_3_0.5,pragmatic,6,3,0.5,-160.7999447890375
6_3_0.5,explicit,6,3,0.5,-157.9570290053821
6_3_0.1,pragmatic,6,3,0.1,-160.8666945475125
6_3_0.1,explicit,6,3,0.1,-157.93989350230888
6_3_1.5,pragmatic,6,3,1.5,-160.43528424140243
6_3_1.5,explicit,6,3,1.5,-158.0530687035016
6_3_2.0,pragmatic,6,3,2.0,-160.0711706040876
6_3_2.0,explicit,6,3,2.0,-158.12792061195864
6_3_2.5,pragmatic,6,3,2.5,-159.55159704601522
6_3_2.5,explicit,6,3,2.5,-158.20733765339364
6_4_0.5,pragmatic,6,4,0.5,-162.63470197596922
6_4_0.5,explicit,6,4,0.5,-157.9570290053821
6_4_0.1,pragmatic,6,4,0.1,-162.6449754845717
6_4_0.1,explicit,6,4,0.1,-157.93989350230888
6_4_1.5,pragmatic,6,4,1.5,-162.53288722355458
6_4_1.5,explicit,6,4,1.5,-158.0530687035016
6_4_2.0,pragmatic,6,4,2.0,-162.37066162059722
6_4_2.0,explicit,6,4,2.0,-158.12792061195864
6_4_2.5,pragmatic,6,4,2.5,-162.0492515867084
6_4_2.5,explicit,6,4,2.5,-158.20733765339364
6_5_0.5,pragmatic,6,5,0.5,-163.82660119667227
6_5_0.5,explicit,6,5,0.5,-157.9570290053821
6_5_0.1,pragmatic,6,5,0.1,-163.80983587121816
6_5_0.1,explicit,6,5,0.1,-157.93989350230888
6_5_1.5,pragmatic,6,5,1.5,-163.8867453090533
6_5_1.5,explicit,6,5,1.5,-158.0530687035016
6_5_2.0,pragmatic,6,5,2.0,-163.9005771897245
6_5_2.0,explicit,6,5,2.0,-158.12792061195864
6_5_2.5,pragmatic,6,5,2.5,-163.85487439025113
6_5_2.5,explicit,6,5,2.5,-158.20733765339364
6_6_0.5,pragmatic,6,6,0.5,-164.57225684945533
6_6_0.5,explicit,6,6,0.5,-157.9570290053821
6_6_0.1,pragmatic,6,6,0.1,-164.55237799435326
6_6_0.1,explicit,6,6,0.1,-157.93989350230888
6_6_1.5,pragmatic,6,6,1.5,-164.67281846331528
6_6_1.5,explicit,6,6,1.5,-158.0530687035016
6_6_2.0,pragmatic,6,6,2.0,-164.75016832083742
6_6_2.0,explicit,6,6,2.0,-158.12792061195864
6_6_2.5,pragmatic,6,6,2.5,-164.83024563500877
6_6_2.5,explicit,6,6,2.5,-158.20733765339364
6_7_0.5,pragmatic,6,7,0.5,-165.06435613911924
6_7_0.5,explicit,6,7,0.5,-157.9570290053821
6_7_0.1,pragmatic,6,7,0.1,-165.05025616236063
6_7_0.1,explicit,6,7,0.1,-157.93989350230888
6_7_1.5,pragmatic,6,7,1.5,-165.1525299552228
6_7_1.5,explicit,6,7,1.5,-158.0530687035016
6_7_2.0,pragmatic,6,7,2.0,-165.23325299720344
6_7_2.0,explicit,6,7,2.0,-158.12792061195864
6_7_2.5,pragmatic,6,7,2.5,-165.33692471226482
6_7_2.5,explicit,6,7,2.5,-158.20733765339364
7_1_0.5,pragmatic,7,1,0.5,-158.79175622928403
7_1_0.5,explicit,7,1,0.5,-158.5624888515933
7_1_0.1,pragmatic,7,1,0.1,-158.7834149882657
7_1_0.1,explicit,7,1,0.1,-158.4904724523025
7_1_1.5,pragmatic,7,1,1.5,-158.84701947492957
7_1_1.5,explicit,7,1,1.5,-158.82446614077915
7_1_2.0,pragmatic,7,1,2.0,-158.907218885738
7_1_2.0,explicit,7,1,2.0,-158.97827570514016
7_1_2.5,pragmatic,7,1,2.5,-158.9937381760054
7_1_2.5,explicit,7,1,2.5,-159.12174961602133
7_2_0.5,pragmatic,7,2,0.5,-161.18337843176826
7_2_0.5,explicit,7,2,0.5,-158.5624888515933
7_2_0.1,pragmatic,7,2,0.1,-161.29028667285257
7_2_0.1,explicit,7,2,0.1,-158.4904724523025
7_2_1.5,pragmatic,7,2,1.5,-160.67311209790586
7_2_1.5,explicit,7,2,1.5,-158.82446614077915
7_2_2.0,pragmatic,7,2,2.0,-160.26978040034032
7_2_2.0,explicit,7,2,2.0,-158.97827570514016
7_2_2.5,pragmatic,7,2,2.5,-159.827555269157
7_2_2.5,explicit,7,2,2.5,-159.12174961602133
7_3_0.5,pragmatic,7,3,0.5,-164.63109214305666
7_3_0.5,explicit,7,3,0.5,-158.5624888515933
7_3_0.1,pragmatic,7,3,0.1,-164.67688171053257
7_3_0.1,explicit,7,3,0.1,-158.4904724523025
7_3_1.5,pragmatic,7,3,1.5,-164.27255092759526
7_3_1.5,explicit,7,3,1.5,-158.82446614077915
7_3_2.0,pragmatic,7,3,2.0,-163.8254222461967
7_3_2.0,explicit,7,3,2.0,-158.97827570514016
7_3_2.5,pragmatic,7,3,2.5,-163.10331548136384
7_3_2.5,explicit,7,3,2.5,-159.12174961602133
7_4_0.5,pragmatic,7,4,0.5,-167.12780474848807
7_4_0.5,explicit,7,4,0.5,-158.5624888515933
7_4_0.1,pragmatic,7,4,0.1,-167.08873658961454
7_4_0.1,explicit,7,4,0.1,-158.4904724523025
7_4_1.5,pragmatic,7,4,1.5,-167.19511156246364
7_4_1.5,explicit,7,4,1.5,-158.82446614077915
7_4_2.0,pragmatic,7,4,2.0,-167.12011437220667
7_4_2.0,explicit,7,4,2.0,-158.97827570514016
7_4_2.5,pragmatic,7,4,2.5,-166.84794217001703
7_4_2.5,explicit,7,4,2.5,-159.12174961602133
7_5_0.5,pragmatic,7,5,0.5,-168.55879786760877
7_5_0.5,explicit,7,5,0.5,-158.5624888515933
7_5_0.1,pragmatic,7,5,0.1,-168.49242584433566
7_5_0.1,explicit,7,5,0.1,-158.4904724523025
7_5_1.5,pragmatic,7,5,1.5,-168.81060927802966
7_5_1.5,explicit,7,5,1.5,-158.82446614077915
7_5_2.0,pragmatic,7,5,2.0,-168.9592606882647
7_5_2.0,explicit,7,5,2.0,-158.97827570514016
7_5_2.5,pragmatic,7,5,2.5,-169.06808892083933
7_5_2.5,explicit,7,5,2.5,-159.12174961602133
7_6_0.5,pragmatic,7,6,0.5,-169.38954567839505
7_6_0.5,explicit,7,6,0.5,-158.5624888515933
7_6_0.1,pragmatic,7,6,0.1,-169.32876467583375
7_6_0.1,explicit,7,6,0.1,-158.4904724523025
7_6_1.5,pragmatic,7,6,1.5,-169.64836743180527
7_6_1.5,explicit,7,6,1.5,-158.82446614077915
7_6_2.0,pragmatic,7,6,2.0,-169.84325944355692
7_6_2.0,explicit,7,6,2.0,-158.97827570514016
7_6_2.5,pragmatic,7,6,2.5,-170.07286232282496
7_6_2.5,explicit,7,6,2.5,-159.12174961602133
7_7_0.5,pragmatic,7,7,0.5,-169.92699241422784
7_7_0.5,explicit,7,7,0.5,-158.5624888515933
7_7_0.1,pragmatic,7,7,0.1,-169.88062555271694
7_7_0.1,explicit,7,7,0.1,-158.4904724523025
7_7_1.5,pragmatic,7,7,1.5,-170.13353684387212
7_7_1.5,explicit,7,7,1.5,-158.82446614077915
7_7_2.0,pragmatic,7,7,2.0,-170.30075148071975
7_7_2.0,explicit,7,7,2.0,-158.97827570514016
7_7_2.5,pragmatic,7,7,2.5,-170.5186040305733
7_7_2.5,explicit,7,7,2.5,-159.12174961602133
8_1_0.5,pragmatic,8,1,0.5,-160.5889479692814
8_1_0.5,explicit,8,1,0.5,-159.6320028698241
8_1_0.1,pragmatic,8,1,0.1,-160.6059026677731
8_1_0.1,explicit,8,1,0.1,-159.5291710765486
8_1_1.5,pragmatic,8,1,1.5,-160.5266312710719
8_1_1.5,explicit,8,1,1.5,-159.97670988627655
8_1_2.0,pragmatic,8,1,2.0,-160.50048213395712
8_1_2.0,explicit,8,1,2.0,-160.1634256246005
8_1_2.5,pragmatic,8,1,2.5,-160.4962708396852
8_1_2.5,explicit,8,1,2.5,-160.32982395102246
8_2_0.5,pragmatic,8,2,0.5,-164.57127396409138
8_2_0.5,explicit,8,2,0.5,-159.6320028698241
8_2_0.1,pragmatic,8,2,0.1,-164.72135587653003
8_2_0.1,explicit,8,2,0.1,-159.5291710765486
8_2_1.5,pragmatic,8,2,1.5,-163.80770081569187
8_2_1.5,explicit,8,2,1.5,-159.97670988627655
8_2_2.0,pragmatic,8,2,2.0,-163.15864153656497
8_2_2.0,explicit,8,2,2.0,-160.1634256246005
8_2_2.5,pragmatic,8,2,2.5,-162.39162203627689
8_2_2.5,explicit,8,2,2.5,-160.32982395102246
8_3_0.5,pragmatic,8,3,0.5,-169.35020256169616
8_3_0.5,explicit,8,3,0.5,-159.6320028698241
8_3_0.1,pragmatic,8,3,0.1,-169.38235944403343
8_3_0.1,explicit,8,3,0.1,-159.5291710765486
8_3_1.5,pragmatic,8,3,1.5,-168.98127939516215
8_3_1.5,explicit,8,3,1.5,-159.97670988627655
8_3_2.0,pragmatic,8,3,2.0,-168.4486600996302
8_3_2.0,explicit,8,3,2.0,-160.1634256246005
8_3_2.5,pragmatic,8,3,2.5,-167.52244822529175
8_3_2.5,explicit,8,3,2.5,-160.32982395102246
8_4_0.5,pragmatic,8,4,0.5,-172.38532664472592
8_4_0.5,explicit,8,4,0.5,-159.6320028698241
8_4_0.1,pragmatic,8,4,0.1,-172.30763677470637
8_4_0.1,explicit,8,4,0.1,-159.5291710765486
8_4_1.5,pragmatic,8,4,1.5,-172.59417096992036
8_4_1.5,explicit,8,4,1.5,-159.97670988627655
8_4_2.0,pragmatic,8,4,2.0,-172.6031994317295
8_4_2.0,explicit,8,4,2.0,-160.1634256246005
8_4_2.5,pragmatic,8,4,2.5,-172.39620177584098
8_4_2.5,explicit,8,4,2.5,-160.32982395102246
8_5_0.5,pragmatic,8,5,0.5,-173.9584530523415
8_5_0.5,explicit,8,5,0.5,-159.6320028698241
8_5_0.1,pragmatic,8,5,0.1,-173.85706376059608
8_5_0.1,explicit,8,5,0.1,-159.5291710765486
8_5_1.5,pragmatic,8,5,1.5,-174.3541728184115
8_5_1.5,explicit,8,5,1.5,-159.97670988627655
8_5_2.0,pragmatic,8,5,2.0,-174.61367077056474
8_5_2.0,explicit,8,5,2.0,-160.1634256246005
8_5_2.5,pragmatic,8,5,2.5,-174.86134886506304
8_5_2.5,explicit,8,5,2.5,-160.32982395102246
8_6_0.5,pragmatic,8,6,0.5,-174.817566056343
8_6_0.5,explicit,8,6,0.5,-159.6320028698241
8_6_0.1,pragmatic,8,6,0.1,-174.73162816281877
8_6_0.1,explicit,8,6,0.1,-159.5291710765486
8_6_1.5,pragmatic,8,6,1.5,-175.18096043050548
8_6_1.5,explicit,8,6,1.5,-159.97670988627655
8_6_2.0,pragmatic,8,6,2.0,-175.46138144080405
8_6_2.0,explicit,8,6,2.0,-160.1634256246005
8_6_2.5,pragmatic,8,6,2.5,-175.80782358680878
8_6_2.5,explicit,8,6,2.5,-160.32982395102246
8_7_0.5,pragmatic,8,7,0.5,-175.36531262890696
8_7_0.5,explicit,8,7,0.5,-159.6320028698241
8_7_0.1,pragmatic,8,7,0.1,-175.30224852505833
8_7_0.1,explicit,8,7,0.1,-159.5291710765486
8_7_1.5,pragmatic,8,7,1.5,-175.6388760840349
8_7_1.5,explicit,8,7,1.5,-159.97670988627655
8_7_2.0,pragmatic,8,7,2.0,-175.86221783221407
8_7_2.0,explicit,8,7,2.0,-160.1634256246005
8_7_2.5,pragmatic,8,7,2.5,-176.1608645126767
8_7_2.5,explicit,8,7,2.5,-160.32982395102246
9_1_0.5,pragmatic,9,1,0.5,-162.71442827199266
9_1_0.5,explicit,9,1,0.5,-160.90666633358518
9_1_0.1,pragmatic,9,1,0.1,-162.78024140628833
9_1_0.1,explicit,9,1,0.1,-160.79372050981635
9_1_1.5,pragmatic,9,1,1.5,-162.45164159727128
9_1_1.5,explicit,9,1,1.5,-161.27031502205313
9_1_2.0,pragmatic,9,1,2.0,-162.29110692700877
9_1_2.0,explicit,9,1,2.0,-161.4594270570249
9_1_2.5,pragmatic,9,1,2.5,-162.1513297240528
9_1_2.5,explicit,9,1,2.5,-161.62426549062772
9_2_0.5,pragmatic,9,2,0.5,-168.3999598659423
9_2_0.5,explicit,9,2,0.5,-160.90666633358518
9_2_0.1,pragmatic,9,2,0.1,-168.60276710677832
9_2_0.1,explicit,9,2,0.1,-160.79372050981635
9_2_1.5,pragmatic,9,2,1.5,-167.34626906824144
9_2_1.5,explicit,9,2,1.5,-161.27031502205313
9_2_2.0,pragmatic,9,2,2.0,-166.421604156909
9_2_2.0,explicit,9,2,2.0,-161.4594270570249
9_2_2.5,pragmatic,9,2,2.5,-165.2866720506564
9_2_2.5,explicit,9,2,2.5,-161.62426549062772
9_3_0.5,pragmatic,9,3,0.5,-174.38171838480653
9_3_0.5,explicit,9,3,0.5,-160.90666633358518
9_3_0.1,pragmatic,9,3,0.1,-174.40375738769896
9_3_0.1,explicit,9,3,0.1,-160.79372050981635
9_3_1.5,pragmatic,9,3,1.5,-174.00637472644092
9_3_1.5,explicit,9,3,1.5,-161.27031502205313
9_3_2.0,pragmatic,9,3,2.0,-173.40718757655557
9_3_2.0,explicit,9,3,2.0,-161.4594270570249
9_3_2.5,pragmatic,9,3,2.5,-172.3102083632795
9_3_2.5,explicit,9,3,2.5,-161.62426549062772
9_4_0.5,pragmatic,9,4,0.5,-177.77903231917745
9_4_0.5,explicit,9,4,0.5,-160.90666633358518
9_4_0.1,pragmatic,9,4,0.1,-177.67221715313545
9_4_0.1,explicit,9,4,0.1,-160.79372050981635
9_4_1.5,pragmatic,9,4,1.5,-178.1053374672462
9_4_1.5,explicit,9,4,1.5,-161.27031502205313
9_4_2.0,pragmatic,9,4,2.0,-178.196617500531
9_4_2.0,explicit,9,4,2.0,-161.4594270570249
9_4_2.5,pragmatic,9,4,2.5,-178.07291601370156
9_4_2.5,explicit,9,4,2.5,-161.62426549062772
9_5_0.5,pragmatic,9,5,0.5,-179.38553324690676
9_5_0.5,explicit,9,5,0.5,-160.90666633358518
9_5_0.1,pragmatic,9,5,0.1,-179.26126943097034
9_5_0.1,explicit,9,5,0.1,-160.79372050981635
9_5_1.5,pragmatic,9,5,1.5,-179.883702515658
