configuration,answererType,alpha_q,alpha_a,beta,likelihood
5_6_0.5,explicit,5,6,0.5,-183.44245460573657
5_6_0.1,pragmatic,5,6,0.1,-126.78043412272018
5_6_0.1,explicit,5,6,0.1,-179.7136103579562
5_6_1.5,pragmatic,5,6,1.5,-115.61009041578083
5_6_1.5,explicit,5,6,1.5,-206.936247237278
5_6_2.0,pragmatic,5,6,2.0,-113.34044898371305
5_6_2.0,explicit,5,6,2.0,-227.68135102475446
5_6_2.5,pragmatic,5,6,2.5,-112.25378705122111
5_6_2.5,explicit,5,6,2.5,-254.38910725340628
5_7_0.5,pragmatic,5,7,0.5,-132.16852836579824
5_7_0.5,explicit,5,7,0.5,-183.44245460573657
5_7_0.1,pragmatic,5,7,0.1,-136.04557634255815
5_7_0.1,explicit,5,7,0.1,-179.7136103579562
5_7_1.5,pragmatic,5,7,1.5,-124.2236077979367
5_7_1.5,explicit,5,7,1.5,-206.936247237278
5_7_2.0,pragmatic,5,7,2.0,-121.48779182811295
5_7_2.0,explicit,5,7,2.0,-227.68135102475446
5_7_2.5,pragmatic,5,7,2.5,-119.72006426736579
5_7_2.5,explicit,5,7,2.5,-254.38910725340628
6_1_0.5,pragmatic,6,1,0.5,-143.5666906277274
6_1_0.5,explicit,6,1,0.5,-183.44245460573657
6_1_0.1,pragmatic,6,1,0.1,-142.42359819930155
6_1_0.1,explicit,6,1,0.1,-179.7136103579562
6_1_1.5,pragmatic,6,1,1.5,-157.76786690873053
6_1_1.5,explicit,6,1,1.5,-206.936247237278
6_1_2.0,pragmatic,6,1,2.0,-172.92430025724354
6_1_2.0,explicit,6,1,2.0,-227.68135102475446
6_1_2.5,pragmatic,6,1,2.5,-194.19993678479457
6_1_2.5,explicit,6,1,2.5,-254.38910725340628
6_2_0.5,pragmatic,6,2,0.5,-119.900529934074
6_2_0.5,explicit,6,2,0.5,-183.44245460573657
6_2_0.1,pragmatic,6,2,0.1,-120.9499328342237
6_2_0.1,explicit,6,2,0.1,-179.7136103579562
6_2_1.5,pragmatic,6,2,1.5,-125.12438673223653
6_2_1.5,explicit,6,2,1.5,-206.936247237278
6_2_2.0,pragmatic,6,2,2.0,-133.86616359878542
6_2_2.0,explicit,6,2,2.0,-227.68135102475446
6_2_2.5,pragmatic,6,2,2.5,-147.95619405477595
6_2_2.5,explicit,6,2,2.5,-254.38910725340628
6_3_0.5,pragmatic,6,3,0.5,-110.45585188235938
6_3_0.5,explicit,6,3,0.5,-183.44245460573657
6_3_0.1,pragmatic,6,3,0.1,-112.9133633905461
6_3_0.1,explicit,6,3,0.1,-179.7136103579562
6_3_1.5,pragmatic,6,3,1.5,-109.27857614820553
6_3_1.5,explicit,6,3,1.5,-206.936247237278
6_3_2.0,pragmatic,6,3,2.0,-112.71314467258874
6_3_2.0,explicit,6,3,2.0,-227.68135102475446
6_3_2.5,pragmatic,6,3,2.5,-119.95131719769253
6_3_2.5,explicit,6,3,2.5,-254.38910725340628
6_4_0.5,pragmatic,6,4,0.5,-110.33511866228704
6_4_0.5,explicit,6,4,0.5,-183.44245460573657
6_4_0.1,pragmatic,6,4,0.1,-113.52343340609674
6_4_0.1,explicit,6,4,0.1,-179.7136103579562
6_4_1.5,pragmatic,6,4,1.5,-105.62536888759684
6_4_1.5,explicit,6,4,1.5,-206.936247237278
6_4_2.0,pragmatic,6,4,2.0,-105.83893776915238
6_4_2.0,explicit,6,4,2.0,-227.68135102475446
6_4_2.5,pragmatic,6,4,2.5,-108.45957903781937
6_4_2.5,explicit,6,4,2.5,-254.38910725340628
6_5_0.5,pragmatic,6,5,0.5,-115.38721167088467
6_5_0.5,explicit,6,5,0.5,-183.44245460573657
6_5_0.1,pragmatic,6,5,0.1,-118.92754110702772
6_5_0.1,explicit,6,5,0.1,-179.7136103579562
6_5_1.5,pragmatic,6,5,1.5,-108.94296762907263
6_5_1.5,explicit,6,5,1.5,-206.936247237278
6_5_2.0,pragmatic,6,5,2.0,-107.51360963620594
6_5_2.0,explicit,6,5,2.0,-227.68135102475446
6_5_2.5,pragmatic,6,5,2.5,-107.6545586136203
6_5_2.5,explicit,6,5,2.5,-254.38910725340628
6_6_0.5,pragmatic,6,6,0.5,-123.24093622394342
6_6_0.5,explicit,6,6,0.5,-183.44245460573657
6_6_0.1,pragmatic,6,6,0.1,-126.95908781627233
6_6_0.1,explicit,6,6,0.1,-179.7136103579562
6_6_1.5,pragmatic,6,6,1.5,-115.93448680671757
6_6_1.5,explicit,6,6,1.5,-206.936247237278
6_6_2.0,pragmatic,6,6,2.0,-113.69414596186375
6_6_2.0,explicit,6,6,2.0,-227.68135102475446
6_6_2.5,pragmatic,6,6,2.5,-112.59983887516671
6_6_2.5,explicit,6,6,2.5,-254.38910725340628
6_7_0.5,pragmatic,6,7,0.5,-132.70460830846545
6_7_0.5,explicit,6,7,0.5,-183.44245460573657
6_7_0.1,pragmatic,6,7,0.1,-136.5258056357881
6_7_0.1,explicit,6,7,0.1,-179.7136103579562
6_7_1.5,pragmatic,6,7,1.5,-124.92145084339823
6_7_1.5,explicit,6,7,1.5,-206.936247237278
6_7_2.0,pragmatic,6,7,2.0,-122.25371542667503
6_7_2.0,explicit,6,7,2.0,-227.68135102475446
6_7_2.5,pragmatic,6,7,2.5,-120.52553411465155
6_7_2.5,explicit,6,7,2.5,-254.38910725340628
7_1_0.5,pragmatic,7,1,0.5,-142.51183073065468
7_1_0.5,explicit,7,1,0.5,-183.44245460573657
7_1_0.1,pragmatic,7,1,0.1,-141.36274273593278
7_1_0.1,explicit,7,1,0.1,-179.7136103579562
7_1_1.5,pragmatic,7,1,1.5,-156.7311064669133
7_1_1.5,explicit,7,1,1.5,-206.936247237278
7_1_2.0,pragmatic,7,1,2.0,-171.8960903148488
7_1_2.0,explicit,7,1,2.0,-227.68135102475446
7_1_2.5,pragmatic,7,1,2.5,-193.17852079992107
7_1_2.5,explicit,7,1,2.5,-254.38910725340628
7_2_0.5,pragmatic,7,2,0.5,-118.68635153362057
7_2_0.5,explicit,7,2,0.5,-183.44245460573657
7_2_0.1,pragmatic,7,2,0.1,-119.75142333403171
7_2_0.1,explicit,7,2,0.1,-179.7136103579562
7_2_1.5,pragmatic,7,2,1.5,-123.82763330494934
7_2_1.5,explicit,7,2,1.5,-206.936247237278
7_2_2.0,pragmatic,7,2,2.0,-132.49531476168076
7_2_2.0,explicit,7,2,2.0,-227.68135102475446
7_2_2.5,pragmatic,7,2,2.5,-146.4892439627593
7_2_2.5,explicit,7,2,2.5,-254.38910725340628
7_3_0.5,pragmatic,7,3,0.5,-109.70945749659079
7_3_0.5,explicit,7,3,0.5,-183.44245460573657
7_3_0.1,pragmatic,7,3,0.1,-112.18229019280267
7_3_0.1,explicit,7,3,0.1,-179.7136103579562
7_3_1.5,pragmatic,7,3,1.5,-108.43465255639697
7_3_1.5,explicit,7,3,1.5,-206.936247237278
7_3_2.0,pragmatic,7,3,2.0,-111.76429234017037
7_3_2.0,explicit,7,3,2.0,-227.68135102475446
7_3_2.5,pragmatic,7,3,2.5,-118.84266217664882
7_3_2.5,explicit,7,3,2.5,-254.38910725340628
7_4_0.5,pragmatic,7,4,0.5,-110.18822256062195
7_4_0.5,explicit,7,4,0.5,-183.44245460573657
7_4_0.1,pragmatic,7,4,0.1,-113.37747093836134
7_4_0.1,explicit,7,4,0.1,-179.7136103579562
7_4_1.5,pragmatic,7,4,1.5,-105.44083333441534
7_4_1.5,explicit,7,4,1.5,-206.936247237278
7_4_2.0,pragmatic,7,4,2.0,-105.5938988711028
7_4_2.0,explicit,7,4,2.0,-227.68135102475446
7_4_2.5,pragmatic,7,4,2.5,-108.10447531815635
7_4_2.5,explicit,7,4,2.5,-254.38910725340628
7_5_0.5,pragmatic,7,5,0.5,-115.77689570786511
7_5_0.5,explicit,7,5,0.5,-183.44245460573657
7_5_0.1,pragmatic,7,5,0.1,-119.30492670929485
7_5_0.1,explicit,7,5,0.1,-179.7136103579562
7_5_1.5,pragmatic,7,5,1.5,-109.35249932720075
7_5_1.5,explicit,7,5,1.5,-206.936247237278
7_5_2.0,pragmatic,7,5,2.0,-107.91070692622274
7_5_2.0,explicit,7,5,2.0,-227.68135102475446
7_5_2.5,pragmatic,7,5,2.5,-108.00839191219384
7_5_2.5,explicit,7,5,2.5,-254.38910725340628
7_6_0.5,pragmatic,7,6,0.5,-124.09845636927342
7_6_0.5,explicit,7,6,0.5,-183.44245460573657
7_6_0.1,pragmatic,7,6,0.1,-127.7943083165012
7_6_0.1,explicit,7,6,0.1,-179.7136103579562
7_6_1.5,pragmatic,7,6,1.5,-116.8524661193088
7_6_1.5,explicit,7,6,1.5,-206.936247237278
7_6_2.0,pragmatic,7,6,2.0,-114.63150271802891
7_6_2.0,explicit,7,6,2.0,-227.68135102475446
7_6_2.5,pragmatic,7,6,2.5,-113.53712175776607
7_6_2.5,explicit,7,6,2.5,-254.38910725340628
7_7_0.5,pragmatic,7,7,0.5,-133.98606467026764
7_7_0.5,explicit,7,7,0.5,-183.44245460573657
7_7_0.1,pragmatic,7,7,0.1,-137.77698948339173
7_7_0.1,explicit,7,7,0.1,-179.7136103579562
7_7_1.5,pragmatic,7,7,1.5,-126.29313013799869
7_7_1.5,explicit,7,7,1.5,-206.936247237278
7_7_2.0,pragmatic,7,7,2.0,-123.66565812998266
7_7_2.0,explicit,7,7,2.0,-227.68135102475446
7_7_2.5,pragmatic,7,7,2.5,-121.96337460044288
7_7_2.5,explicit,7,7,2.5,-254.38910725340628
8_1_0.5,pragmatic,8,1,0.5,-141.72169134905903
8_1_0.5,explicit,8,1,0.5,-183.44245460573657
8_1_0.1,pragmatic,8,1,0.1,-140.56661304967062
8_1_0.1,explicit,8,1,0.1,-179.7136103579562
8_1_1.5,pragmatic,8,1,1.5,-155.95956367430801
8_1_1.5,explicit,8,1,1.5,-206.936247237278
8_1_2.0,pragmatic,8,1,2.0,-171.13378163694344
8_1_2.0,explicit,8,1,2.0,-227.68135102475446
8_1_2.5,pragmatic,8,1,2.5,-192.4239608035511
8_1_2.5,explicit,8,1,2.5,-254.38910725340628
8_2_0.5,pragmatic,8,2,0.5,-117.8374199103125
8_2_0.5,explicit,8,2,0.5,-183.44245460573657
8_2_0.1,pragmatic,8,2,0.1,-118.91370719025667
8_2_0.1,explicit,8,2,0.1,-179.7136103579562
8_2_1.5,pragmatic,8,2,1.5,-122.91854439113558
8_2_1.5,explicit,8,2,1.5,-206.936247237278
8_2_2.0,pragmatic,8,2,2.0,-131.53103359340426
8_2_2.0,explicit,8,2,2.0,-227.68135102475446
8_2_2.5,pragmatic,8,2,2.5,-145.45205379680442
8_2_2.5,explicit,8,2,2.5,-254.38910725340628
8_3_0.5,pragmatic,8,3,0.5,-109.30870743373904
8_3_0.5,explicit,8,3,0.5,-183.44245460573657
8_3_0.1,pragmatic,8,3,0.1,-111.79202719166594
8_3_0.1,explicit,8,3,0.1,-179.7136103579562
8_3_1.5,pragmatic,8,3,1.5,-107.96662872332183
8_3_1.5,explicit,8,3,1.5,-206.936247237278
8_3_2.0,pragmatic,8,3,2.0,-111.22221976365385
8_3_2.0,explicit,8,3,2.0,-227.68135102475446
8_3_2.5,pragmatic,8,3,2.5,-118.18498991742176
8_3_2.5,explicit,8,3,2.5,-254.38910725340628
8_4_0.5,pragmatic,8,4,0.5,-110.34394959276374
8_4_0.5,explicit,8,4,0.5,-183.44245460573657
8_4_0.1,pragmatic,8,4,0.1,-113.53304773551025
8_4_0.1,explicit,8,4,0.1,-179.7136103579562
8_4_1.5,pragmatic,8,4,1.5,-105.57595643216307
8_4_1.5,explicit,8,4,1.5,-206.936247237278
8_4_2.0,pragmatic,8,4,2.0,-105.69204302970881
8_4_2.0,explicit,8,4,2.0,-227.68135102475446
8_4_2.5,pragmatic,8,4,2.5,-108.13194835955517
8_4_2.5,explicit,8,4,2.5,-254.38910725340628
8_5_0.5,pragmatic,8,5,0.5,-116.45086451896691
8_5_0.5,explicit,8,5,0.5,-183.44245460573657
8_5_0.1,pragmatic,8,5,0.1,-119.96997899944753
8_5_0.1,explicit,8,5,0.1,-179.7136103579562
8_5_1.5,pragmatic,8,5,1.5,-110.04549706473823
8_5_1.5,explicit,8,5,1.5,-206.936247237278
8_5_2.0,pragmatic,8,5,2.0,-108.60131508757631
8_5_2.0,explicit,8,5,2.0,-227.68135102475446
8_5_2.5,pragmatic,8,5,2.5,-108.67824604957205
8_5_2.5,explicit,8,5,2.5,-254.38910725340628
8_6_0.5,pragmatic,8,6,0.5,-125.24530817222927
8_6_0.5,explicit,8,6,0.5,-183.44245460573657
8_6_0.1,pragmatic,8,6,0.1,-128.92650474036918
8_6_0.1,explicit,8,6,0.1,-179.7136103579562
8_6_1.5,pragmatic,8,6,1.5,-118.04272104475524
8_6_1.5,explicit,8,6,1.5,-206.936247237278
8_6_2.0,pragmatic,8,6,2.0,-115.83934757218498
8_6_2.0,explicit,8,6,2.0,-227.68135102475446
8_6_2.5,pragmatic,8,6,2.5,-114.75225937845741
8_6_2.5,explicit,8,6,2.5,-254.38910725340628
8_7_0.5,pragmatic,8,7,0.5,-135.57321299818392
8_7_0.5,explicit,8,7,0.5,-183.44245460573657
8_7_0.1,pragmatic,8,7,0.1,-139.34563519007762
8_7_0.1,explicit,8,7,0.1,-179.7136103579562
8_7_1.5,pragmatic,8,7,1.5,-127.93882439130596
8_7_1.5,explicit,8,7,1.5,-206.936247237278
8_7_2.0,pragmatic,8,7,2.0,-125.3401610352474
8_7_2.0,explicit,8,7,2.0,-227.68135102475446
8_7_2.5,pragmatic,8,7,2.5,-123.65951336294918
8_7_2.5,explicit,8,7,2.5,-254.38910725340628
9_1_0.5,pragmatic,9,1,0.5,-141.1152800112222
9_1_0.5,explicit,9,1,0.5,-183.44245460573657
9_1_0.1,pragmatic,9,1,0.1,-139.9550537584779
9_1_0.1,explicit,9,1,0.1,-179.7136103579562
9_1_1.5,pragmatic,9,1,1.5,-155.36912952659011
9_1_1.5,explicit,9,1,1.5,-206.936247237278
9_1_2.0,pragmatic,9,1,2.0,-170.5513047214585
9_1_2.0,explicit,9,1,2.0,-227.68135102475446
9_1_2.5,pragmatic,9,1,2.5,-191.84820568623138
9_1_2.5,explicit,9,1,2.5,-254.38910725340628
9_2_0.5,pragmatic,9,2,0.5,-117.23042522772252
9_2_0.5,explicit,9,2,0.5,-183.44245460573657
9_2_0.1,pragmatic,9,2,0.1,-118.31522759570167
9_2_0.1,explicit,9,2,0.1,-179.7136103579562
9_2_1.5,pragmatic,9,2,1.5,-122.26492257439257
9_2_1.5,explicit,9,2,1.5,-206.936247237278
9_2_2.0,pragmatic,9,2,2.0,-130.83375819227876
9_2_2.0,explicit,9,2,2.0,-227.68135102475446
9_2_2.5,pragmatic,9,2,2.5,-144.69624221499572
9_2_2.5,explicit,9,2,2.5,-254.38910725340628
9_3_0.5,pragmatic,9,3,0.5,-109.12002442268769
9_3_0.5,explicit,9,3,0.5,-183.44245460573657
9_3_0.1,pragmatic,9,3,0.1,-111.61051510282506
9_3_0.1,explicit,9,3,0.1,-179.7136103579562
9_3_1.5,pragmatic,9,3,1.5,-107.72991760860828
9_3_1.5,explicit,9,3,1.5,-206.936247237278
9_3_2.0,pragmatic,9,3,2.0,-110.93078019630376
9_3_2.0,explicit,9,3,2.0,-227.68135102475446
9_3_2.5,pragmatic,9,3,2.5,-117.80593517103155
9_3_2.5,explicit,9,3,2.5,-254.38910725340628
9_4_0.5,pragmatic,9,4,0.5,-110.66429260702225
9_4_0.5,explicit,9,4,0.5,-183.44245460573657
9_4_0.1,pragmatic,9,4,0.1,-113.85213472659211
9_4_0.1,explicit,9,4,0.1,-179.7136103579562
9_4_1.5,pragmatic,9,4,1.5,-105.88646533585283
9_4_1.5,explicit,9,4,1.5,-206.936247237278
9_4_2.0,pragmatic,9,4,2.0,-105.97957631502162
9_4_2.0,explicit,9,4,2.0,-227.68135102475446
9_4_2.5,pragmatic,9,4,2.5,-108.37245613128047
9_4_2.5,explicit,9,4,2.5,-254.38910725340628
9_5_0.5,pragmatic,9,5,0.5,-117.25330074337533
9_5_0.5,explicit,9,5,0.5,-183.44245460573657
9_5_0.1,pragmatic,9,5,0.1,-120.76499768129678
9_5_0.1,explicit,9,5,0.1,-179.7136103579562
9_5_1.5,pragmatic,9,5,1.5,-110.8668501900423
9_5_1.5,explicit,9,5,1.5,-206.936247237278
