configuration,answererType,alpha_q,alpha_a,beta,likelihood
5_6_0.5,explicit,5,6,0.5,-295.22914618605415
5_6_0.1,pragmatic,5,6,0.1,-85.65380043658377
5_6_0.1,explicit,5,6,0.1,-186.61700981500928
5_6_1.5,pragmatic,5,6,1.5,-320.04555656405137
5_6_1.5,explicit,5,6,1.5,-819.061685872398
5_6_2.0,pragmatic,5,6,2.0,-585.6712544786521
5_6_2.0,explicit,5,6,2.0,-1092.003072058987
5_6_2.5,pragmatic,5,6,2.5,-858.2821188987854
5_6_2.5,explicit,5,6,2.5,-1365.000152951043
5_7_0.5,pragmatic,5,7,0.5,-77.25599809146865
5_7_0.5,explicit,5,7,0.5,-332.5619763134395
5_7_0.1,pragmatic,5,7,0.1,-87.28484814988309
5_7_0.1,explicit,5,7,0.1,-188.48728941062092
5_7_1.5,pragmatic,5,7,1.5,-369.3455629341869
5_7_1.5,explicit,5,7,1.5,-955.5137672769399
5_7_2.0,pragmatic,5,7,2.0,-682.9636335842556
5_7_2.0,explicit,5,7,2.0,-1274.000415763497
5_7_2.5,pragmatic,5,7,2.5,-1001.3100659502927
5_7_2.5,explicit,5,7,2.5,-1592.5000125549986
6_1_0.5,pragmatic,6,1,0.5,-137.00525961840702
6_1_0.5,explicit,6,1,0.5,-184.94245460573657
6_1_0.1,pragmatic,6,1,0.1,-134.84849072158875
6_1_0.1,explicit,6,1,0.1,-180.0136103579562
6_1_1.5,pragmatic,6,1,1.5,-153.542742028112
6_1_1.5,explicit,6,1,1.5,-211.436247237278
6_1_2.0,pragmatic,6,1,2.0,-169.80247565725657
6_1_2.0,explicit,6,1,2.0,-233.68135102475446
6_1_2.5,pragmatic,6,1,2.5,-192.19271287020678
6_1_2.5,explicit,6,1,2.5,-261.8891072534063
6_2_0.5,pragmatic,6,2,0.5,-107.7282999027357
6_2_0.5,explicit,6,2,0.5,-195.35917781858566
6_2_0.1,pragmatic,6,2,0.1,-105.85326064361797
6_2_0.1,explicit,6,2,0.1,-180.9995405144378
6_2_1.5,pragmatic,6,2,1.5,-157.8297724845749
6_2_1.5,explicit,6,2,1.5,-295.22914618605415
6_2_2.0,pragmatic,6,2,2.0,-216.28788601119874
6_2_2.0,explicit,6,2,2.0,-372.7624533877209
6_2_2.5,pragmatic,6,2,2.5,-291.7537399174554
6_2_2.5,explicit,6,2,2.5,-458.31346681912794
6_3_0.5,pragmatic,6,3,0.5,-89.5071862186079
6_3_0.5,explicit,6,3,0.5,-211.436247237278
6_3_0.1,pragmatic,6,3,0.1,-89.94230180872044
6_3_0.1,explicit,6,3,0.1,-182.1432577629999
6_3_1.5,pragmatic,6,3,1.5,-183.11883355835408
6_3_1.5,explicit,6,3,1.5,-414.90572048223044
6_3_2.0,pragmatic,6,3,2.0,-294.3722979642119
6_3_2.0,explicit,6,3,2.0,-547.231758697065
6_3_2.5,pragmatic,6,3,2.5,-424.0533552234046
6_3_2.5,explicit,6,3,2.5,-682.7761605106717
6_4_0.5,pragmatic,6,4,0.5,-79.03546810291446
6_4_0.5,explicit,6,4,0.5,-233.68135102475446
6_4_0.1,pragmatic,6,4,0.1,-82.41161676942292
6_4_0.1,explicit,6,4,0.1,-183.454364645986
6_4_1.5,pragmatic,6,4,1.5,-219.55637681330816
6_4_1.5,explicit,6,4,1.5,-547.231758697065
6_4_2.0,pragmatic,6,4,2.0,-383.827617112601
6_4_2.0,explicit,6,4,2.0,-728.1675908020835
6_4_2.5,pragmatic,6,4,2.5,-563.0868816420669
6_4_2.5,explicit,6,4,2.5,-910.022697388829
6_5_0.5,pragmatic,6,5,0.5,-73.45826623161385
6_5_0.5,explicit,6,5,0.5,-261.8891072534063
6_5_0.1,pragmatic,6,5,0.1,-79.46919523048571
6_5_0.1,explicit,6,5,0.1,-184.94245460573657
6_5_1.5,pragmatic,6,5,1.5,-261.63142386174474
6_5_1.5,explicit,6,5,1.5,-682.7761605106717
6_5_2.0,pragmatic,6,5,2.0,-477.0028220075754
6_5_2.0,explicit,6,5,2.0,-910.022697388829
6_5_2.5,pragmatic,6,5,2.5,-703.4096593257699
6_5_2.5,explicit,6,5,2.5,-1137.5018633092266
6_6_0.5,pragmatic,6,6,0.5,-70.95550600920879
6_6_0.5,explicit,6,6,0.5,-295.22914618605415
6_6_0.1,pragmatic,6,6,0.1,-79.00019785125177
6_6_0.1,explicit,6,6,0.1,-186.61700981500928
6_6_1.5,pragmatic,6,6,1.5,-306.71639323584844
6_6_1.5,explicit,6,6,1.5,-819.061685872398
6_6_2.0,pragmatic,6,6,2.0,-571.4372973969246
6_6_2.0,explicit,6,6,2.0,-1092.003072058987
6_6_2.5,pragmatic,6,6,2.5,-843.9964641823219
6_6_2.5,explicit,6,6,2.5,-1365.000152951043
6_7_0.5,pragmatic,6,7,0.5,-70.45719300373125
6_7_0.5,explicit,6,7,0.5,-332.5619763134395
6_7_0.1,pragmatic,6,7,0.1,-79.94956516997712
6_7_0.1,explicit,6,7,0.1,-188.48728941062092
6_7_1.5,pragmatic,6,7,1.5,-353.50896964706453
6_7_1.5,explicit,6,7,1.5,-955.5137672769399
6_7_2.0,pragmatic,6,7,2.0,-666.3215288963156
6_7_2.0,explicit,6,7,2.0,-1274.000415763497
6_7_2.5,pragmatic,6,7,2.5,-984.6411234039285
6_7_2.5,explicit,6,7,2.5,-1592.5000125549986
7_1_0.5,pragmatic,7,1,0.5,-134.96744129707275
7_1_0.5,explicit,7,1,0.5,-184.94245460573657
7_1_0.1,pragmatic,7,1,0.1,-132.79801937016555
7_1_0.1,explicit,7,1,0.1,-180.0136103579562
7_1_1.5,pragmatic,7,1,1.5,-151.5462007682753
7_1_1.5,explicit,7,1,1.5,-211.436247237278
7_1_2.0,pragmatic,7,1,2.0,-167.8281260280809
7_1_2.0,explicit,7,1,2.0,-233.68135102475446
7_1_2.5,pragmatic,7,1,2.5,-190.2384245179844
7_1_2.5,explicit,7,1,2.5,-261.8891072534063
7_2_0.5,pragmatic,7,2,0.5,-104.53483025868418
7_2_0.5,explicit,7,2,0.5,-195.35917781858566
7_2_0.1,pragmatic,7,2,0.1,-102.6803438610129
7_2_0.1,explicit,7,2,0.1,-180.9995405144378
7_2_1.5,pragmatic,7,2,1.5,-154.39443355530312
7_2_1.5,explicit,7,2,1.5,-295.22914618605415
7_2_2.0,pragmatic,7,2,2.0,-212.68382428966532
7_2_2.0,explicit,7,2,2.0,-372.7624533877209
7_2_2.5,pragmatic,7,2,2.5,-288.03906555541784
7_2_2.5,explicit,7,2,2.5,-458.31346681912794
7_3_0.5,pragmatic,7,3,0.5,-85.7836540869062
7_3_0.5,explicit,7,3,0.5,-211.436247237278
7_3_0.1,pragmatic,7,3,0.1,-86.27829468413803
7_3_0.1,explicit,7,3,0.1,-182.1432577629999
7_3_1.5,pragmatic,7,3,1.5,-178.2002917023134
7_3_1.5,explicit,7,3,1.5,-414.90572048223044
7_3_2.0,pragmatic,7,3,2.0,-288.9108178988289
7_3_2.0,explicit,7,3,2.0,-547.231758697065
7_3_2.5,pragmatic,7,3,2.5,-418.40817236572354
7_3_2.5,explicit,7,3,2.5,-682.7761605106717
7_4_0.5,pragmatic,7,4,0.5,-75.05259468118304
7_4_0.5,explicit,7,4,0.5,-233.68135102475446
7_4_0.1,pragmatic,7,4,0.1,-78.45305094034524
7_4_0.1,explicit,7,4,0.1,-183.454364645986
7_4_1.5,pragmatic,7,4,1.5,-212.9459148096319
7_4_1.5,explicit,7,4,1.5,-547.231758697065
7_4_2.0,pragmatic,7,4,2.0,-376.396134468221
7_4_2.0,explicit,7,4,2.0,-728.1675908020835
7_4_2.5,pragmatic,7,4,2.5,-555.5053705418437
7_4_2.5,explicit,7,4,2.5,-910.022697388829
7_5_0.5,pragmatic,7,5,0.5,-69.30704417841412
7_5_0.5,explicit,7,5,0.5,-261.8891072534063
7_5_0.1,pragmatic,7,5,0.1,-75.24085670416969
7_5_0.1,explicit,7,5,0.1,-184.94245460573657
7_5_1.5,pragmatic,7,5,1.5,-253.16898748559638
7_5_1.5,explicit,7,5,1.5,-682.7761605106717
7_5_2.0,pragmatic,7,5,2.0,-467.5998743586363
7_5_2.0,explicit,7,5,2.0,-910.022697388829
7_5_2.5,pragmatic,7,5,2.5,-693.9107319957296
7_5_2.5,explicit,7,5,2.5,-1137.5018633092266
7_6_0.5,pragmatic,7,6,0.5,-66.66633639194852
7_6_0.5,explicit,7,6,0.5,-295.22914618605415
7_6_0.1,pragmatic,7,6,0.1,-74.50217130368607
7_6_0.1,explicit,7,6,0.1,-186.61700981500928
7_6_1.5,pragmatic,7,6,1.5,-296.3064071370221
7_6_1.5,explicit,7,6,1.5,-819.061685872398
7_6_2.0,pragmatic,7,6,2.0,-560.0859318641242
7_6_2.0,explicit,7,6,2.0,-1092.003072058987
7_6_2.5,pragmatic,7,6,2.5,-832.590146717318
7_6_2.5,explicit,7,6,2.5,-1365.000152951043
7_7_0.5,pragmatic,7,7,0.5,-66.0345453433693
7_7_0.5,explicit,7,7,0.5,-332.5619763134395
7_7_0.1,pragmatic,7,7,0.1,-75.18467531313948
7_7_0.1,explicit,7,7,0.1,-188.48728941062092
7_7_1.5,pragmatic,7,7,1.5,-341.1016687960542
7_7_1.5,explicit,7,7,1.5,-955.5137672769399
7_7_2.0,pragmatic,7,7,2.0,-653.0413351482435
7_7_2.0,explicit,7,7,2.0,-1274.000415763497
7_7_2.5,pragmatic,7,7,2.5,-971.3312911186031
7_7_2.5,explicit,7,7,2.5,-1592.5000125549986
8_1_0.5,pragmatic,8,1,0.5,-133.31179480999475
8_1_0.5,explicit,8,1,0.5,-184.94245460573657
8_1_0.1,pragmatic,8,1,0.1,-131.13200464839633
8_1_0.1,explicit,8,1,0.1,-180.0136103579562
8_1_1.5,pragmatic,8,1,1.5,-149.92428011653848
8_1_1.5,explicit,8,1,1.5,-211.436247237278
8_1_2.0,pragmatic,8,1,2.0,-166.22435764339966
8_1_2.0,explicit,8,1,2.0,-233.68135102475446
8_1_2.5,pragmatic,8,1,2.5,-188.6511396835615
8_1_2.5,explicit,8,1,2.5,-261.8891072534063
8_2_0.5,pragmatic,8,2,0.5,-101.9791677634623
8_2_0.5,explicit,8,2,0.5,-195.35917781858566
8_2_0.1,pragmatic,8,2,0.1,-100.14380779797733
8_2_0.1,explicit,8,2,0.1,-180.9995405144378
8_2_1.5,pragmatic,8,2,1.5,-151.62943145891012
8_2_1.5,explicit,8,2,1.5,-295.22914618605415
8_2_2.0,pragmatic,8,2,2.0,-209.77213092855322
8_2_2.0,explicit,8,2,2.0,-372.7624533877209
8_2_2.5,pragmatic,8,2,2.5,-285.0304825656065
8_2_2.5,explicit,8,2,2.5,-458.31346681912794
8_3_0.5,pragmatic,8,3,0.5,-82.88097355289062
8_3_0.5,explicit,8,3,0.5,-211.436247237278
8_3_0.1,pragmatic,8,3,0.1,-83.4274248452914
8_3_0.1,explicit,8,3,0.1,-182.1432577629999
8_3_1.5,pragmatic,8,3,1.5,-174.28040926276336
8_3_1.5,explicit,8,3,1.5,-414.90572048223044
8_3_2.0,pragmatic,8,3,2.0,-284.503776778368
8_3_2.0,explicit,8,3,2.0,-547.231758697065
8_3_2.5,pragmatic,8,3,2.5,-413.833254327877
8_3_2.5,explicit,8,3,2.5,-682.7761605106717
8_4_0.5,pragmatic,8,4,0.5,-72.05493964885873
8_4_0.5,explicit,8,4,0.5,-233.68135102475446
8_4_0.1,pragmatic,8,4,0.1,-75.47938518222007
8_4_0.1,explicit,8,4,0.1,-183.454364645986
8_4_1.5,pragmatic,8,4,1.5,-207.7056742449973
8_4_1.5,explicit,8,4,1.5,-547.231758697065
8_4_2.0,pragmatic,8,4,2.0,-370.3899597093275
8_4_2.0,explicit,8,4,2.0,-728.1675908020835
8_4_2.5,pragmatic,8,4,2.5,-549.3562212545593
8_4_2.5,explicit,8,4,2.5,-910.022697388829
8_5_0.5,pragmatic,8,5,0.5,-66.3040788855014
8_5_0.5,explicit,8,5,0.5,-261.8891072534063
8_5_0.1,pragmatic,8,5,0.1,-72.18585391765421
8_5_0.1,explicit,8,5,0.1,-184.94245460573657
8_5_1.5,pragmatic,8,5,1.5,-246.46656702306637
8_5_1.5,explicit,8,5,1.5,-682.7761605106717
8_5_2.0,pragmatic,8,5,2.0,-459.9875289900386
8_5_2.0,explicit,8,5,2.0,-910.022697388829
8_5_2.5,pragmatic,8,5,2.5,-686.2035118360176
8_5_2.5,explicit,8,5,2.5,-1137.5018633092266
8_6_0.5,pragmatic,8,6,0.5,-63.68185185342028
8_6_0.5,explicit,8,6,0.5,-295.22914618605415
8_6_0.1,pragmatic,8,6,0.1,-71.37383967034245
8_6_0.1,explicit,8,6,0.1,-186.61700981500928
8_6_1.5,pragmatic,8,6,1.5,-288.04761459828273
8_6_1.5,explicit,8,6,1.5,-819.061685872398
8_6_2.0,pragmatic,8,6,2.0,-550.8859064697214
8_6_2.0,explicit,8,6,2.0,-1092.003072058987
8_6_2.5,pragmatic,8,6,2.5,-823.3340392754226
8_6_2.5,explicit,8,6,2.5,-1365.000152951043
8_7_0.5,pragmatic,8,7,0.5,-63.0613880922288
8_7_0.5,explicit,8,7,0.5,-332.5619763134395
8_7_0.1,pragmatic,8,7,0.1,-71.98251665305307
8_7_0.1,explicit,8,7,0.1,-188.48728941062092
8_7_1.5,pragmatic,8,7,1.5,-331.2311102637517
8_7_1.5,explicit,8,7,1.5,-955.5137672769399
8_7_2.0,pragmatic,8,7,2.0,-642.2711846422078
8_7_2.0,explicit,8,7,2.0,-1274.000415763497
8_7_2.5,pragmatic,8,7,2.5,-960.530010548255
8_7_2.5,explicit,8,7,2.5,-1592.5000125549986
9_1_0.5,pragmatic,9,1,0.5,-131.95069227029524
9_1_0.5,explicit,9,1,0.5,-184.94245460573657
9_1_0.1,pragmatic,9,1,0.1,-129.76262076205154
9_1_0.1,explicit,9,1,0.1,-180.0136103579562
9_1_1.5,pragmatic,9,1,1.5,-148.59011981582256
9_1_1.5,explicit,9,1,1.5,-211.436247237278
9_1_2.0,pragmatic,9,1,2.0,-164.90472007158024
9_1_2.0,explicit,9,1,2.0,-233.68135102475446
9_1_2.5,pragmatic,9,1,2.5,-187.34471565620203
9_1_2.5,explicit,9,1,2.5,-261.8891072534063
9_2_0.5,pragmatic,9,2,0.5,-99.9056621493268
9_2_0.5,explicit,9,2,0.5,-195.35917781858566
9_2_0.1,pragmatic,9,2,0.1,-98.08768274659403
9_2_0.1,explicit,9,2,0.1,-180.9995405144378
9_2_1.5,pragmatic,9,2,1.5,-149.37317977302075
9_2_1.5,explicit,9,2,1.5,-295.22914618605415
9_2_2.0,pragmatic,9,2,2.0,-207.38634381076085
9_2_2.0,explicit,9,2,2.0,-372.7624533877209
9_2_2.5,pragmatic,9,2,2.5,-282.5584195054895
9_2_2.5,explicit,9,2,2.5,-458.31346681912794
9_3_0.5,pragmatic,9,3,0.5,-80.58301024585722
9_3_0.5,explicit,9,3,0.5,-211.436247237278
9_3_0.1,pragmatic,9,3,0.1,-81.17242282385021
9_3_0.1,explicit,9,3,0.1,-182.1432577629999
9_3_1.5,pragmatic,9,3,1.5,-171.11062885455618
9_3_1.5,explicit,9,3,1.5,-414.90572048223044
9_3_2.0,pragmatic,9,3,2.0,-280.89517088936543
9_3_2.0,explicit,9,3,2.0,-547.231758697065
9_3_2.5,pragmatic,9,3,2.5,-410.0710093850547
9_3_2.5,explicit,9,3,2.5,-682.7761605106717
9_4_0.5,pragmatic,9,4,0.5,-69.75795089749063
9_4_0.5,explicit,9,4,0.5,-233.68135102475446
9_4_0.1,pragmatic,9,4,0.1,-73.19959032183102
9_4_0.1,explicit,9,4,0.1,-183.454364645986
9_4_1.5,pragmatic,9,4,1.5,-203.4887478209629
9_4_1.5,explicit,9,4,1.5,-547.231758697065
9_4_2.0,pragmatic,9,4,2.0,-365.46380484740456
9_4_2.0,explicit,9,4,2.0,-728.1675908020835
9_4_2.5,pragmatic,9,4,2.5,-544.2952124375151
9_4_2.5,explicit,9,4,2.5,-910.022697388829
9_5_0.5,pragmatic,9,5,0.5,-64.08390466152419
9_5_0.5,explicit,9,5,0.5,-261.8891072534063
9_5_0.1,pragmatic,9,5,0.1,-69.92091088510928
9_5_0.1,explicit,9,5,0.1,-184.94245460573657
9_5_1.5,pragmatic,9,5,1.5,-241.07743854328913
9_5_1.5,explicit,9,5,1.5,-682.7761605106717
